epoch,accuracy,loss,lr,precision,recall,top_k_categorical_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top_k_categorical_accuracy
0,0.016333334147930145,5.3465776443481445,0.001,0.01272264588624239,0.00041666667675599456,0.04491666704416275,0.03286713361740112,4.745675563812256,0.0,0.0,0.06620046496391296
1,0.03433333337306976,4.658529758453369,0.001,0.6666666865348816,0.00016666666488163173,0.07983333617448807,0.11934731900691986,4.454823970794678,0.0,0.0,0.22797203063964844
2,0.07349999994039536,4.382167816162109,0.001,0.6111111044883728,0.004583333153277636,0.15166667103767395,0.2545454502105713,3.8456430435180664,1.0,0.0009324009297415614,0.4344988465309143
3,0.12566666305065155,3.9873850345611572,0.001,0.4890219569206238,0.020416665822267532,0.25200000405311584,0.3580419719219208,3.2027649879455566,0.9290780425071716,0.03053613007068634,0.5745920538902283
4,0.18774999678134918,3.5739641189575195,0.001,0.5292258858680725,0.05583333224058151,0.3465833365917206,0.43216782808303833,2.6769165992736816,0.9189944267272949,0.07668997347354889,0.6694638729095459
5,0.23283334076404572,3.2460038661956787,0.001,0.543005645275116,0.09574999660253525,0.42658331990242004,0.5055944323539734,2.281247615814209,0.9005848169326782,0.14358974993228912,0.735897421836853
6,0.2745833396911621,2.9937264919281006,0.001,0.5594744086265564,0.13483333587646484,0.4806666672229767,0.5363636612892151,2.060326099395752,0.8854718804359436,0.1946386992931366,0.7648018598556519
7,0.3163333237171173,2.7641215324401855,0.001,0.5813823938369751,0.17383334040641785,0.5366666913032532,0.5724941492080688,1.8395392894744873,0.8805732727050781,0.2578088641166687,0.8002331256866455
8,0.3473333418369293,2.5860424041748047,0.001,0.6053209900856018,0.20666666328907013,0.5727499723434448,0.6016317009925842,1.6937546730041504,0.8673957586288452,0.2958042025566101,0.8167831897735596
9,0.37566667795181274,2.4239864349365234,0.001,0.6169704794883728,0.2369166612625122,0.6129166483879089,0.6090909242630005,1.570849895477295,0.8736037611961365,0.34638693928718567,0.8272727131843567
10,0.3930833339691162,2.3332369327545166,0.001,0.6225839257240295,0.2549999952316284,0.6328333616256714,0.6324009299278259,1.5169107913970947,0.880428671836853,0.36386945843696594,0.8407925367355347
11,0.41200000047683716,2.2426393032073975,0.001,0.6397016644477844,0.2787500023841858,0.6512500047683716,0.6363636255264282,1.4676523208618164,0.8691099286079407,0.3869463801383972,0.8456876277923584
12,0.43424999713897705,2.117856025695801,0.001,0.6424242258071899,0.30033332109451294,0.684499979019165,0.641258716583252,1.3818325996398926,0.8667315244674683,0.4153846204280853,0.8585081696510315
13,0.44458332657814026,2.074913501739502,0.001,0.6548992395401001,0.31691667437553406,0.6900833249092102,0.6571095585823059,1.320031762123108,0.8722712397575378,0.43776223063468933,0.8636363744735718
14,0.46433332562446594,1.9895992279052734,0.001,0.6751763224601746,0.33500000834465027,0.7045000195503235,0.6727272868156433,1.268674373626709,0.8716833591461182,0.4671328663825989,0.8680652976036072
15,0.4752500057220459,1.9340299367904663,0.001,0.6823734641075134,0.35841667652130127,0.7135833501815796,0.6885780692100525,1.230654239654541,0.875,0.476456880569458,0.8757575750350952
16,0.48533332347869873,1.8847606182098389,0.001,0.690483808517456,0.3591666519641876,0.7272499799728394,0.6815850734710693,1.2416552305221558,0.8712536692619324,0.4811188876628876,0.8694638609886169
17,0.5051666498184204,1.8155322074890137,0.001,0.6936293244361877,0.3801666796207428,0.7432500123977661,0.6736596822738647,1.2393584251403809,0.8689279556274414,0.4836829900741577,0.8729603886604309
